name,email,country,region,phone,address,occupation,registration_number,married,age,skin_color,2nd_vacine
Myles Solomon,enim.etiam@nequeet.ca,Brazil,Paraíba,(23) 0000-2470,Ap #168-9685 Tellus Ave,Cirurgiao,2000,Nao,42,Branca,0
Alexandra Todd,ut.semper@tinciduntaliquam.edu,Brazil,Ceará,(26) 0000-8283,511-2644 Non Road,Medico,2001,Sim,36,Parda,1
Aspen Peterson,purus.gravida@veliteu.net,Brazil,Maranhão,(13) 0000-0575,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Gerente de Enfermagem,2002,Nao,36,Amarela,1
Amethyst Wiley,fames.ac@arcuvelquam.edu,Brazil,Santa Catarina,(35) 0000-4237,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Gerente de Enfermagem,2003,Nao,28,Parda,0
Mari Goodwin,tempor@curabiturdictum.com,Brazil,Maranhão,(57) 0000-6164,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Farmaceutico,2004,Nao,43,Indígena,1
Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Enfermeiro Obstreta,2005,Sim,42,Preta,0
Gloria Bowers,arcu.curabitur.ut@euelit.ca,Brazil,São Paulo,(63) 0000-2566,469-2899 Duis Avenue,Gerente de Enfermagem,2006,Sim,32,Preta,0
Jane Guzman,eros.proin.ultrices@ullamcorper.ca,Brazil,Paraná,(69) 0000-7968,Ap #438-3186 Pretium Ave,Cirurgiao,2007,Sim,49,Amarela,0
Oleg Emerson,suspendisse@velitduisemper.net,Brazil,Santa Catarina,(93) 0000-2545,705-4192 Ut Rd.,Auxiliar de Enfermagem,2008,Sim,43,Branca,0
Cara Cabrera,ante.blandit@convallisestvitae.ca,Brazil,Minas Gerais,(82) 0000-6477,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Nefrologista,2009,Sim,37,Indígena,1
Jaden Sanford,nec.cursus@atvelitpellentesque.org,Brazil,Rio Grande do Sul,(28) 0000-5516,611-1427 Suspendisse Avenue,Fisioterapeuta Geral,2010,Sim,39,Branca,1
Keith Lee,proin.velit@nullaintincidunt.ca,Brazil,Rio de Janeiro,(71) 0000-9846,Ap #184-5525 Praesent Avenue,Fisioterapeuta Geral,2011,Nao,41,Preta,1
Kennan Guy,magna.tellus.faucibus@seddictumeleifend.net,Brazil,Rio Grande do Sul,(64) 0000-7265,561-1513 Dis Ave,Gerente de Enfermagem,2012,Nao,47,Indígena,1
Joan Anderson,aliquam.adipiscing.lacus@elitnullafacilisi.org,Brazil,Pará,(46) 0000-4657,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Medico,2013,Sim,29,Amarela,1
Kane Figueroa,tincidunt.adipiscing@ornare.ca,Brazil,Pará,(33) 0000-2915,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Medico,2014,Sim,47,Parda,1
Quemby Wolf,malesuada.vel@imperdiet.net,Brazil,Paraná,(30) 0000-2753,Ap #661-7268 Quisque Road,Enfermeiro Plantonista,2015,Sim,35,Indígena,0
Mechelle Mcpherson,arcu.vestibulum.ante@lorem.com,Brazil,Pará,(19) 0000-5882,296-4894 Ipsum Street,Cirurgiao,2016,Nao,39,Branca,1
Halee Willis,at.sem@nuncac.co.uk,Brazil,Paraná,(66) 0000-8255,1354 Ultrices Road,Farmaceutico,2017,Sim,38,Amarela,0
Colby Figueroa,lorem@molestiesodalesmauris.ca,Brazil,Bahia,(11) 0000-2841,Ap #368-2006 Eget Rd.,Enfermeiro Plantonista,2018,Sim,46,Parda,1
Keaton Alford,lacus.mauris.non@nullamvitae.com,Brazil,São Paulo,(83) 0000-4267,509-965 In Road,Tecnico Enfermagem,2019,Nao,25,Branca,0
Asher Humphrey,erat.vitae.risus@enim.net,Brazil,Goiás,(21) 0000-5643,355-3251 Placerat Rd.,Auxiliar de Enfermagem,2020,Sim,30,Indígena,1
Uta Oneil,metus.in@sed.net,Brazil,Minas Gerais,(92) 0000-0485,382-6131 Libero. Ave,Enfermeiro Plantonista,2021,Sim,32,Indígena,1
Igor Koch,commodo@turpisaliquam.net,Brazil,Paraíba,(27) 0000-1236,Ap #306-4402 Metus. Rd.,Enfermeiro Obstreta,2022,Nao,33,Parda,1
Lance Frye,enim.nunc@laciniaorciconsectetuer.net,Brazil,Rio de Janeiro,(78) 0000-0913,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Gerente de Enfermagem,2023,Nao,31,Preta,1
Hamilton Ryan,sit@etnetus.co.uk,Brazil,Rio Grande do Sul,(72) 0000-0247,Ap #621-820 Placerat Rd.,Farmaceutico,2024,Sim,24,Parda,1
Elmo Silva,dictum.mi.ac@ipsum.com,Brazil,Bahia,(48) 0000-9699,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Tecnico Enfermagem,2025,Nao,48,Branca,0
Octavius Moody,quisque.ornare@ametluctus.com,Brazil,Rio Grande do Sul,(05) 0000-9703,Ap #636-9599 Donec Rd.,Enfermeiro Obstreta,2026,Nao,25,Amarela,0
Kaseem Rogers,ipsum.leo.elementum@loremvehiculaet.co.uk,Brazil,Paraná,(52) 0000-2231,985-5914 Ac St.,Fisioterapeuta Geral,2027,Sim,25,Indígena,0
Rosalyn Suarez,nunc.risus@vestibulumlorem.com,Brazil,Rio Grande do Sul,(82) 0000-8767,9865 Nunc. Street,Enfermeiro Plantonista,2028,Nao,19,Parda,0
Sawyer Baldwin,vel@loremipsum.co.uk,Brazil,Pernambuco,(19) 0000-5068,773-2889 Fermentum Avenue,Nefrologista,2029,Sim,43,Amarela,1
Warren Salas,libero.morbi.accumsan@maurisblandit.com,Brazil,Pará,(15) 0000-1114,Ap #663-4741 Mattis. Ave,Enfermeiro Plantonista,2030,Sim,19,Parda,0
Flynn Calhoun,suspendisse.tristique@rutrumeu.co.uk,Brazil,Pernambuco,(72) 0000-1732,Ap #946-9837 Malesuada. Rd.,Fisioterapeuta Geral,2031,Nao,20,Preta,1
Quinn Wilkinson,auctor.odio@hymenaeosmauris.ca,Brazil,São Paulo,(85) 0000-0760,"Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0",Coordenador de Enfermagem,2032,Sim,25,Parda,0
Heidi Blackwell,fringilla.purus@duifuscediam.com,Brazil,Bahia,(03) 0000-2661,517-8790 At Rd.,Cirurgiao,2033,Nao,25,Indígena,0
