name,email,country,region,phone,address,occupation,registration_number,married,age,skin_color,2nd_vacine,team,fixed
Myles Solomon,enim.etiam@nequeet.ca,Brazil,Paraíba,(23) 0000-2470,Ap #168-9685 Tellus Ave,Cirurgiao,2000,Nao,42,Branca,0,13,Sim
Alexandra Todd,ut.semper@tinciduntaliquam.edu,Brazil,Ceará,(26) 0000-8283,511-2644 Non Road,Medico,2001,Sim,36,Parda,1,11,Sim
Aspen Peterson,purus.gravida@veliteu.net,Brazil,Maranhão,(13) 0000-0575,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Gerente de Enfermagem,2002,Nao,36,Amarela,1,5,Sim
Amethyst Wiley,fames.ac@arcuvelquam.edu,Brazil,Santa Catarina,(35) 0000-4237,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Gerente de Enfermagem,2003,Nao,28,Parda,0,7,Sim
Mari Goodwin,tempor@curabiturdictum.com,Brazil,Maranhão,(57) 0000-6164,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Farmaceutico,2004,Nao,43,Indígena,1,6,Nao
Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Enfermeiro Obstreta,2005,Sim,42,Preta,0,13,Nao
Gloria Bowers,arcu.curabitur.ut@euelit.ca,Brazil,São Paulo,(63) 0000-2566,469-2899 Duis Avenue,Gerente de Enfermagem,2006,Sim,32,Preta,0,5,Sim
Jane Guzman,eros.proin.ultrices@ullamcorper.ca,Brazil,Paraná,(69) 0000-7968,Ap #438-3186 Pretium Ave,Cirurgiao,2007,Sim,49,Amarela,0,2,Sim
Oleg Emerson,suspendisse@velitduisemper.net,Brazil,Santa Catarina,(93) 0000-2545,705-4192 Ut Rd.,Auxiliar de Enfermagem,2008,Sim,43,Branca,0,2,Nao
Cara Cabrera,ante.blandit@convallisestvitae.ca,Brazil,Minas Gerais,(82) 0000-6477,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Nefrologista,2009,Sim,37,Indígena,1,1,Nao
Jaden Sanford,nec.cursus@atvelitpellentesque.org,Brazil,Rio Grande do Sul,(28) 0000-5516,611-1427 Suspendisse Avenue,Fisioterapeuta Geral,2010,Sim,39,Branca,1,11,Sim
