name,email,country,region,phone,occupation,registration_number,married,age,skin_color,2nd_vacine,team,fixed
Myles Solomon,enim.etiam@nequeet.ca,Brazil,Paraiba,(23) 0000-2470,Cirurgiao,2000,Nao,42,Branca,0,7,Sim
Alexandra Todd,ut.semper@tinciduntaliquam.edu,Brazil,Ceara,(26) 0000-8283,Medico,2001,Sim,36,Parda,1,11,Nao
Aspen Peterson,purus.gravida@veliteu.net,Brazil,Maranhao,(13) 0000-0575,Gerente de Enfermagem,2002,Nao,36,Amarela,1,6,Sim
Amethyst Wiley,fames.ac@arcuvelquam.edu,Brazil,Santa Catarina,(35) 0000-4237,Gerente de Enfermagem,2003,Nao,28,Parda,0,10,Sim
Mari Goodwin,tempor@curabiturdictum.com,Brazil,Maranhao,(57) 0000-6164,Farmaceutico,2004,Nao,43,Indigena,1,3,Nao
Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,Enfermeiro Obstreta,2005,Sim,42,Preta,0,2,Nao
Gloria Bowers,arcu.curabitur.ut@euelit.ca,Brazil,Sao Paulo,(63) 0000-2566,Gerente de Enfermagem,2006,Sim,32,Preta,0,10,Nao
Jane Guzman,eros.proin.ultrices@ullamcorper.ca,Brazil,Parana,(69) 0000-7968,Cirurgiao,2007,Sim,49,Amarela,0,12,Sim
Oleg Emerson,suspendisse@velitduisemper.net,Brazil,Santa Catarina,(93) 0000-2545,Auxiliar de Enfermagem,2008,Sim,43,Branca,0,9,Nao
Cara Cabrera,ante.blandit@convallisestvitae.ca,Brazil,Minas Gerais,(82) 0000-6477,Nefrologista,2009,Sim,37,Indigena,1,10,Nao
Jaden Sanford,nec.cursus@atvelitpellentesque.org,Brazil,Rio Grande do Sul,(28) 0000-5516,Fisioterapeuta Geral,2010,Sim,39,Branca,1,3,Nao
Keith Lee,proin.velit@nullaintincidunt.ca,Brazil,Rio de Janeiro,(71) 0000-9846,Fisioterapeuta Geral,2011,Nao,41,Preta,1,13,Sim
Kennan Guy,magna.tellus.faucibus@seddictumeleifend.net,Brazil,Rio Grande do Sul,(64) 0000-7265,Gerente de Enfermagem,2012,Nao,47,Indigena,1,9,Nao
Joan Anderson,aliquam.adipiscing.lacus@elitnullafacilisi.org,Brazil,Para,(46) 0000-4657,Medico,2013,Sim,29,Amarela,1,13,Nao
Kane Figueroa,tincidunt.adipiscing@ornare.ca,Brazil,Para,(33) 0000-2915,Medico,2014,Sim,47,Parda,1,9,Sim
Quemby Wolf,malesuada.vel@imperdiet.net,Brazil,Parana,(30) 0000-2753,Enfermeiro Plantonista,2015,Sim,35,Indigena,0,9,Sim
Mechelle Mcpherson,arcu.vestibulum.ante@lorem.com,Brazil,Para,(19) 0000-5882,Cirurgiao,2016,Nao,39,Branca,1,6,Sim
