name,email,country,region,phone,address,occupation,registration_number,married,age,skin_color,2nd_vacine
Kelly Dickerson,condimentum@utmolestiein.ca,Brazil,Bahia,(18) 0000-6045,846-8012 Mi Rd.,Enfermeiro Plantonista,2000,Nao,28,Indigena,0
Herman Estes,curabitur@maurisut.edu,Brazil,Sao Paulo,(89) 0000-5396,Ap #514-7873 Mauris St.,Farmaceutico,2001,Nao,27,Parda,0
Rhiannon Moses,egestas.lacinia@morbivehicula.com,Brazil,Sao Paulo,(26) 0000-1177,4877 Sagittis Rd.,Nefrologista,2002,Nao,41,Amarela,0
Kyla Dunlap,nascetur.ridiculus@dis.edu,Brazil,Bahia,(98) 0000-1864,Price Patrick,metus@nequevitae.edu,Brazil,Para,(85) 0000-7263,Ap #971-1805 Nulla St.,Enfermeiro Obstreta,8,2033,Nao,41,Parda,1,Nefrologista,2003,Sim,47,Branca,0
Keith Gould,sed.turpis@eteros.co.uk,Brazil,Santa Catarina,(33) 0000-8924,550-7141 Nascetur Av.,Enfermeiro Plantonista,2004,Nao,45,Branca,1
Price Patrick,metus@nequevitae.edu,Brazil,Para,(85) 0000-7263,Ap #971-1805 Nulla St.,Enfermeiro Obstreta,2005,Nao,41,Parda,1
Astra Saunders,nisi.nibh@nonbibendumsed.edu,Brazil,Maranhao,(71) 0000-8811,663-1107 Eget Rd.,Gerente de Enfermagem,2006,Nao,49,Amarela,1
Amethyst Black,ullamcorper@elitpharetra.org,Brazil,Bahia,(65) 0000-6678,Price Patrick,metus@nequevitae.edu,Brazil,Para,(85) 0000-7263,Ap #971-1805 Nulla St.,Enfermeiro Obstreta,8,2033,Nao,41,Parda,1,Fisioterapeuta Geral,2007,Nao,27,Amarela,0
Ainsley Nichols,sed.congue@proin.ca,Brazil,Pernambuco,(35) 0000-4276,Ap #269-7752 Cras Ave,Tecnico Enfermagem,2008,Sim,27,Preta,0
Jared Drake,dolor.egestas@idenim.ca,Brazil,Parana,(84) 0000-3934,Ap #998-2390 Posuere St.,Tecnico Em Radiologia,2009,Nao,20,Amarela,1
